Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,GPA_Quartile,Total_Hours,Stress_Level_Moderate,Stress_Level_High,Study_Sleep_Ratio,Active_Hours
72,8.7,3.2,6.4,1.0,4.7,3.37,Q4_Highest,24.0,False,True,1.3593749999999998,17.599999999999998
73,8.8,3.2,10.0,0.8,1.2,3.58,Q4_Highest,24.0,False,True,0.8800000000000001,14.0
74,6.7,3.7,9.3,1.8,2.5,2.89,Q1_Lowest,24.0,True,False,0.7204301075268816,14.7
76,6.6,3.6,6.9,0.1,6.8,2.99,Q2,24.0,True,False,0.9565217391304347,17.1
77,9.5,0.4,6.6,5.7,1.8,3.44,Q4_Highest,24.0,False,True,1.4393939393939394,17.400000000000002
78,8.2,1.8,6.5,2.0,5.5,3.35,Q4_Highest,24.0,False,True,1.2615384615384615,17.5
79,8.4,3.0,9.0,2.8,0.8,3.26,Q3,24.0,False,True,0.9333333333333333,15.0
80,5.3,2.2,7.2,5.3,4.0,2.62,Q1_Lowest,24.0,False,False,0.736111111111111,16.8
81,6.8,0.5,5.7,4.6,6.4,2.86,Q1_Lowest,24.0,False,True,1.1929824561403508,18.299999999999997
82,5.4,2.8,5.4,4.9,5.5,2.86,Q1_Lowest,24.0,False,True,1.0,18.6
83,8.5,0.3,5.4,5.9,3.9,2.99,Q2,24.0,False,True,1.574074074074074,18.6
84,9.1,3.8,9.9,0.9,0.3,3.08,Q2,24.0,False,True,0.9191919191919191,14.1
85,6.9,0.3,8.9,3.4,4.5,3.21,Q3,24.0,True,False,0.7752808988764045,15.100000000000001
86,5.6,2.0,5.1,2.8,8.5,2.81,Q1_Lowest,24.0,False,True,1.0980392156862746,18.900000000000002
87,5.3,0.5,5.6,3.9,8.7,2.9,Q2,24.0,False,True,0.9464285714285715,18.4
89,6.1,3.9,5.1,5.8,3.1,2.96,Q2,24.0,False,True,1.196078431372549,18.9
90,5.4,2.2,9.8,3.1,3.5,2.81,Q1_Lowest,24.0,False,False,0.5510204081632653,14.200000000000001
91,8.1,2.8,7.3,3.6,2.2,3.39,Q4_Highest,24.0,False,True,1.1095890410958904,16.700000000000003
93,7.3,2.5,6.4,1.1,6.7,2.67,Q1_Lowest,23.999999999999996,True,False,1.140625,17.6
95,8.5,2.1,6.5,4.9,2.0,3.1,Q2,24.0,False,True,1.3076923076923077,17.5
96,9.6,3.3,9.7,1.0,0.4,3.54,Q4_Highest,23.999999999999996,False,True,0.9896907216494846,14.3
97,8.1,1.7,9.7,3.9,0.6,3.45,Q4_Highest,23.999999999999996,False,True,0.8350515463917526,14.299999999999999
98,9.9,0.6,8.0,2.1,3.4,3.39,Q4_Highest,24.0,False,True,1.2375,16.0
99,9.8,3.4,9.2,0.7,0.9,3.15,Q3,23.999999999999996,False,True,1.065217391304348,14.8
100,5.3,3.5,9.1,6.0,0.1,2.68,Q1_Lowest,24.0,False,False,0.5824175824175825,14.899999999999999
101,10.0,2.2,8.8,2.8,0.2,3.41,Q4_Highest,24.0,False,True,1.1363636363636362,15.2
103,6.1,2.7,8.1,2.1,5.0,2.98,Q2,24.0,True,False,0.7530864197530864,15.9
105,7.8,2.2,9.4,1.9,2.7,3.3,Q3,23.999999999999996,True,False,0.8297872340425532,14.6
106,8.5,0.9,5.7,0.1,8.8,3.55,Q4_Highest,24.0,False,True,1.4912280701754386,18.3
107,6.8,2.4,7.0,2.6,5.2,2.97,Q2,24.0,True,False,0.9714285714285714,17.0
109,9.3,3.8,5.7,4.8,0.4,3.05,Q2,24.0,False,True,1.631578947368421,18.3
110,7.3,3.9,7.5,1.7,3.6,3.08,Q2,24.0,True,False,0.9733333333333333,16.5
111,8.2,1.0,5.4,0.8,8.6,3.3,Q3,24.0,False,True,1.5185185185185184,18.599999999999998
112,5.9,1.4,9.5,2.8,4.4,2.7,Q1_Lowest,24.0,False,False,0.6210526315789474,14.5
113,8.3,0.7,6.0,0.2,8.8,3.14,Q3,24.0,False,True,1.3833333333333335,18.0
114,5.9,0.4,5.6,2.8,9.3,2.73,Q1_Lowest,24.0,False,True,1.0535714285714286,18.400000000000002
115,6.0,1.5,7.5,4.1,4.9,2.76,Q1_Lowest,24.0,True,False,0.8,16.5
116,9.4,3.7,5.3,1.6,4.0,3.45,Q4_Highest,24.0,False,True,1.7735849056603774,18.700000000000003
117,9.0,3.0,5.9,1.3,4.8,3.29,Q3,24.0,False,True,1.5254237288135593,18.1
118,8.1,1.5,7.3,4.5,2.6,2.75,Q1_Lowest,24.0,False,True,1.1095890410958904,16.7
120,5.5,1.8,7.7,1.5,7.5,3.05,Q2,24.0,False,False,0.7142857142857143,16.3
121,6.3,1.5,5.1,1.9,9.2,2.82,Q1_Lowest,24.0,False,True,1.2352941176470589,18.9
122,5.6,3.6,8.0,4.1,2.7,2.62,Q1_Lowest,24.0,False,False,0.7,16.0
123,8.9,2.0,5.4,3.2,4.5,3.64,Q4_Highest,24.0,False,True,1.6481481481481481,18.6
124,7.2,0.5,6.4,2.2,7.7,3.19,Q3,24.0,True,False,1.125,17.6
125,8.2,2.3,6.8,5.9,0.8,2.95,Q2,24.0,False,True,1.2058823529411764,17.200000000000003
126,5.5,0.6,6.2,1.0,10.0,2.94,Q2,23.299999999999997,False,False,0.8870967741935484,17.1
128,7.1,3.9,5.6,2.4,5.0,2.9,Q2,24.0,False,True,1.2678571428571428,18.4
129,9.8,3.5,9.1,0.4,1.2,3.57,Q4_Highest,23.999999999999996,False,True,1.076923076923077,14.9
130,9.6,2.2,7.9,1.2,3.1,3.24,Q3,24.0,False,True,1.2151898734177213,16.099999999999998
131,8.8,0.7,6.6,2.6,5.3,2.99,Q2,24.0,False,True,1.3333333333333335,17.400000000000002
132,5.6,2.4,6.4,3.5,6.1,2.85,Q1_Lowest,24.0,False,False,0.8749999999999999,17.6
133,5.8,1.9,7.7,0.3,8.3,2.7,Q1_Lowest,24.0,False,False,0.7532467532467532,16.3
134,5.3,4.0,6.6,4.9,3.2,2.72,Q1_Lowest,23.999999999999996,False,False,0.8030303030303031,17.4
136,6.7,3.7,9.2,4.2,0.2,2.85,Q1_Lowest,23.999999999999996,True,False,0.7282608695652175,14.8
137,5.6,2.9,9.7,1.1,4.7,2.86,Q1_Lowest,23.999999999999996,False,False,0.577319587628866,14.3
138,7.9,3.4,5.7,4.8,2.2,3.15,Q3,24.0,False,True,1.3859649122807018,18.3
139,6.0,0.7,5.8,4.9,6.6,2.96,Q2,24.0,False,True,1.0344827586206897,18.2
141,7.2,1.5,7.3,1.8,6.2,3.08,Q2,24.0,True,False,0.9863013698630138,16.7
143,9.5,2.5,5.6,5.6,0.8,3.13,Q3,24.0,False,True,1.6964285714285716,18.4
144,5.7,3.2,8.1,3.2,3.8,3.08,Q2,24.0,False,False,0.7037037037037037,15.899999999999999
145,9.5,3.2,5.8,1.7,3.8,3.59,Q4_Highest,24.0,False,True,1.6379310344827587,18.2
146,5.2,2.3,8.8,5.3,2.4,2.61,Q1_Lowest,24.0,False,False,0.5909090909090908,15.2
147,6.7,3.3,5.6,5.1,3.3,2.95,Q2,24.0,False,True,1.1964285714285716,18.4
148,9.0,0.6,6.1,4.3,4.0,3.15,Q3,24.0,False,True,1.4754098360655739,17.9
150,5.9,3.6,7.9,2.4,4.2,2.64,Q1_Lowest,24.0,False,False,0.7468354430379747,16.1
152,5.1,3.5,9.7,3.2,2.5,2.79,Q1_Lowest,24.0,False,False,0.5257731958762887,14.3
153,8.5,3.7,8.5,0.5,2.8,3.65,Q4_Highest,24.0,False,True,1.0,15.5
154,7.1,2.9,9.7,4.0,0.3,3.33,Q4_Highest,23.999999999999996,True,False,0.731958762886598,14.299999999999999
155,7.3,0.5,9.9,5.0,1.3,3.11,Q3,24.0,True,False,0.7373737373737373,14.1
156,8.0,1.6,5.3,2.0,7.1,3.42,Q4_Highest,24.0,False,True,1.509433962264151,18.7
157,9.0,0.0,6.7,2.4,5.9,3.51,Q4_Highest,24.0,False,True,1.3432835820895521,17.3
158,6.7,1.4,8.7,2.7,4.5,3.02,Q2,23.999999999999996,True,False,0.7701149425287357,15.3
159,6.1,1.8,5.7,1.1,9.3,2.38,Q1_Lowest,24.0,False,True,1.0701754385964912,18.3
160,9.6,1.4,7.9,3.2,1.9,3.43,Q4_Highest,23.999999999999996,False,True,1.2151898734177213,16.1
161,5.1,2.7,5.9,5.8,4.5,2.71,Q1_Lowest,24.0,False,True,0.8644067796610169,18.1
162,5.4,4.0,7.5,3.6,3.5,2.59,Q1_Lowest,24.0,False,False,0.7200000000000001,16.5
164,5.2,1.9,7.8,0.4,8.7,2.67,Q1_Lowest,24.0,False,False,0.6666666666666667,16.2
165,8.9,1.8,7.6,2.5,3.2,3.58,Q4_Highest,24.0,False,True,1.1710526315789476,16.400000000000002
166,5.8,0.7,9.3,5.7,2.5,2.46,Q1_Lowest,24.0,False,False,0.6236559139784945,14.7
168,5.1,0.9,6.2,4.0,7.8,3.02,Q2,24.0,False,False,0.8225806451612903,17.799999999999997
169,5.1,0.4,9.0,1.1,8.4,2.52,Q1_Lowest,24.0,False,False,0.5666666666666667,15.0
170,5.5,1.0,8.6,5.1,3.8,2.97,Q2,24.0,False,False,0.6395348837209303,15.4
171,9.2,1.6,8.3,1.0,3.9,3.5,Q4_Highest,24.0,False,True,1.1084337349397588,15.7
172,5.1,0.3,6.0,0.2,10.0,2.7,Q1_Lowest,21.6,False,False,0.85,15.6
173,5.9,2.3,7.1,5.4,3.3,2.78,Q1_Lowest,24.0,False,False,0.8309859154929579,16.9
174,6.3,1.5,8.0,1.6,6.6,3.15,Q3,24.0,True,False,0.7875,15.999999999999998
175,8.1,1.6,7.8,2.6,3.9,3.26,Q3,24.0,False,True,1.0384615384615385,16.2
177,9.5,3.2,7.1,0.1,4.1,3.49,Q4_Highest,24.0,False,True,1.3380281690140845,16.900000000000002
178,8.2,1.0,5.7,5.0,4.1,2.89,Q1_Lowest,24.0,False,True,1.43859649122807,18.299999999999997
181,6.0,0.0,5.7,5.4,6.9,2.95,Q2,24.0,False,True,1.0526315789473684,18.3
182,8.0,2.7,5.9,5.5,1.9,3.4,Q4_Highest,23.999999999999996,False,True,1.3559322033898304,18.1
183,7.1,1.5,7.6,0.3,7.5,3.17,Q3,24.0,True,False,0.9342105263157895,16.400000000000002
184,5.4,2.4,6.2,2.3,7.7,2.66,Q1_Lowest,24.0,False,False,0.8709677419354839,17.8
185,6.4,1.4,8.6,1.8,5.8,2.77,Q1_Lowest,24.0,True,False,0.744186046511628,15.4
186,8.3,3.7,8.7,0.7,2.6,3.77,Q4_Highest,24.0,False,True,0.9540229885057473,15.3
187,5.2,1.0,8.0,0.3,9.5,3.29,Q3,24.0,False,False,0.65,16.0
188,6.7,3.1,5.5,0.5,8.2,2.99,Q2,24.0,False,True,1.2181818181818183,18.5
189,8.6,2.0,8.4,2.2,2.8,3.43,Q4_Highest,24.0,False,True,1.0238095238095237,15.599999999999998
190,9.0,2.8,6.4,3.4,2.4,3.24,Q3,24.0,False,True,1.40625,17.599999999999998
191,6.8,0.4,9.6,0.8,6.4,3.01,Q2,24.0,True,False,0.7083333333333334,14.4
194,6.1,4.0,9.7,0.2,4.0,2.58,Q1_Lowest,24.0,True,False,0.6288659793814433,14.299999999999999
195,8.5,3.7,5.9,3.4,2.5,3.06,Q2,24.0,False,True,1.4406779661016949,18.099999999999998
196,9.6,3.9,9.7,0.4,0.4,3.65,Q4_Highest,23.999999999999993,False,True,0.9896907216494846,14.3
197,9.3,3.4,6.6,3.9,0.8,3.41,Q4_Highest,24.0,False,True,1.4090909090909092,17.400000000000002
198,6.2,0.5,5.4,4.2,7.7,2.84,Q1_Lowest,24.0,False,True,1.1481481481481481,18.6
199,6.7,2.9,5.3,1.9,7.2,3.29,Q3,24.0,False,True,1.2641509433962266,18.7
200,6.6,2.5,9.4,3.4,2.1,3.03,Q2,24.0,True,False,0.702127659574468,14.6
201,6.2,0.1,9.4,0.1,8.2,2.95,Q2,24.0,True,False,0.6595744680851063,14.599999999999998
202,9.7,3.2,10.0,0.4,0.7,3.67,Q4_Highest,23.999999999999996,False,True,0.97,13.999999999999998
204,7.1,3.0,6.2,0.7,7.0,3.36,Q4_Highest,24.0,True,False,1.1451612903225805,17.8
205,6.8,1.1,6.5,1.4,8.2,3.01,Q2,24.0,True,False,1.0461538461538462,17.5
206,6.9,2.7,6.1,5.7,2.6,3.08,Q2,24.0,True,False,1.1311475409836067,17.9
207,8.9,0.4,7.1,5.3,2.3,3.33,Q4_Highest,24.0,False,True,1.2535211267605635,16.9
208,8.1,0.7,10.0,1.2,4.0,3.35,Q4_Highest,24.0,False,True,0.8099999999999999,13.999999999999998
209,9.7,2.6,8.0,1.9,1.8,3.33,Q4_Highest,24.0,False,True,1.2125,16.0
210,6.1,0.7,8.9,2.1,6.2,2.81,Q1_Lowest,24.0,True,False,0.6853932584269662,15.1
211,5.3,3.9,9.4,5.0,0.4,3.08,Q2,23.999999999999996,False,False,0.5638297872340425,14.6
215,8.3,2.2,5.4,2.5,5.6,2.97,Q2,24.0,False,True,1.537037037037037,18.6
216,8.6,2.0,5.4,1.3,6.7,3.14,Q3,24.0,False,True,1.5925925925925923,18.6
218,9.1,1.4,8.4,2.9,2.2,3.26,Q3,23.999999999999996,False,True,1.0833333333333333,15.600000000000001
219,6.3,3.5,9.0,3.4,1.8,3.11,Q3,24.0,True,False,0.7,15.0
220,8.5,2.7,8.1,3.5,1.2,3.38,Q4_Highest,24.0,False,True,1.0493827160493827,15.899999999999999
221,5.8,3.5,9.4,0.2,5.1,2.84,Q1_Lowest,24.0,False,False,0.6170212765957447,14.599999999999998
222,6.7,3.0,5.8,4.9,3.6,3.03,Q2,24.0,False,True,1.1551724137931034,18.200000000000003
223,9.2,2.0,5.0,1.7,6.1,3.42,Q4_Highest,24.0,False,True,1.8399999999999999,18.999999999999996
224,8.2,1.0,8.2,3.2,3.4,3.24,Q3,23.999999999999996,False,True,1.0,15.8
225,8.9,0.4,8.8,3.2,2.7,3.32,Q4_Highest,24.0,False,True,1.0113636363636362,15.200000000000003
226,8.2,3.7,5.5,5.6,1.0,3.29,Q3,23.999999999999996,False,True,1.4909090909090907,18.5
227,8.4,0.3,6.5,4.2,4.6,3.29,Q3,24.0,False,True,1.2923076923076924,17.5
228,6.7,2.5,5.2,5.2,4.4,2.86,Q1_Lowest,24.0,False,True,1.2884615384615385,18.8
229,9.9,3.9,8.7,0.2,1.3,3.8,Q4_Highest,24.0,False,True,1.1379310344827587,15.3
230,8.4,1.8,6.4,6.0,1.4,3.25,Q3,24.0,False,True,1.3125,17.6
231,7.1,1.8,5.8,4.8,4.5,2.86,Q1_Lowest,24.0,False,True,1.2241379310344827,18.2
232,5.4,2.7,8.3,1.6,6.0,2.95,Q2,24.0,False,False,0.6506024096385542,15.700000000000001
233,9.8,0.6,7.2,5.7,0.7,3.84,Q4_Highest,24.0,False,True,1.3611111111111112,16.8
234,7.0,1.1,9.9,2.5,3.5,2.84,Q1_Lowest,24.0,True,False,0.7070707070707071,14.1
235,9.5,0.9,6.1,0.2,7.3,3.17,Q3,24.0,False,True,1.557377049180328,17.9
236,9.3,1.9,9.8,0.6,2.4,3.68,Q4_Highest,24.0,False,True,0.9489795918367347,14.200000000000001
238,5.7,0.1,9.6,3.7,4.9,3.12,Q3,24.0,False,False,0.59375,14.400000000000002
239,9.0,1.9,5.6,0.8,6.7,3.21,Q3,24.0,False,True,1.6071428571428572,18.4
240,6.0,2.0,5.3,3.5,7.2,3.26,Q3,24.0,False,True,1.1320754716981132,18.7
241,6.3,3.2,6.6,2.7,5.2,2.85,Q1_Lowest,23.999999999999996,True,False,0.9545454545454546,17.4
242,8.0,1.2,8.5,5.2,1.1,2.72,Q1_Lowest,24.0,True,False,0.9411764705882353,15.5
243,8.9,0.2,7.4,0.6,6.9,3.33,Q4_Highest,24.0,False,True,1.2027027027027026,16.6
244,8.1,2.8,7.8,0.1,5.2,2.98,Q2,23.999999999999996,False,True,1.0384615384615385,16.200000000000003
245,6.6,2.1,5.4,2.1,7.8,2.79,Q1_Lowest,24.0,False,True,1.222222222222222,18.6
246,7.8,2.8,9.0,0.9,3.5,3.11,Q3,24.0,True,False,0.8666666666666667,15.000000000000002
247,5.8,0.4,8.2,4.2,5.4,2.88,Q1_Lowest,24.0,False,False,0.7073170731707318,15.8
248,8.5,3.5,8.6,2.7,0.7,3.15,Q3,24.0,False,True,0.9883720930232559,15.399999999999999
249,6.7,3.3,5.4,5.4,3.2,3.27,Q3,24.0,False,True,1.2407407407407407,18.6
250,7.3,2.6,7.6,4.4,2.1,3.13,Q3,24.0,True,False,0.9605263157894737,16.4
251,5.4,0.2,6.2,1.0,10.0,2.75,Q1_Lowest,22.8,False,False,0.8709677419354839,16.6
252,9.9,1.3,5.9,4.7,2.2,3.57,Q4_Highest,24.0,False,True,1.6779661016949152,18.1
253,8.3,2.0,7.8,4.2,1.7,3.25,Q3,24.0,False,True,1.0641025641025643,16.2
254,6.0,2.7,5.4,0.2,9.7,2.92,Q2,24.0,False,True,1.111111111111111,18.599999999999998
255,6.3,1.9,9.3,4.4,2.1,2.85,Q1_Lowest,24.0,True,False,0.6774193548387096,14.700000000000001
256,6.7,1.5,9.9,0.2,5.7,3.32,Q4_Highest,24.0,True,False,0.6767676767676768,14.1
257,9.3,2.3,7.2,3.8,1.4,3.61,Q4_Highest,24.0,False,True,1.2916666666666667,16.8
258,9.5,1.7,6.4,3.6,2.8,3.42,Q4_Highest,24.0,False,True,1.484375,17.6
259,9.6,0.8,8.1,3.5,2.0,3.31,Q3,24.0,False,True,1.1851851851851851,15.9
260,8.6,3.6,5.9,1.4,4.5,3.37,Q4_Highest,24.0,False,True,1.4576271186440677,18.099999999999998
265,6.2,0.3,5.8,3.1,8.6,3.13,Q3,24.0,False,True,1.0689655172413794,18.200000000000003
266,7.2,1.0,8.1,4.2,3.5,2.98,Q2,24.0,True,False,0.888888888888889,15.899999999999999
267,5.8,0.7,5.2,4.4,7.9,2.81,Q1_Lowest,24.0,False,True,1.1153846153846154,18.799999999999997
268,9.2,3.2,7.9,3.2,0.5,3.8,Q4_Highest,24.0,False,True,1.1645569620253162,16.099999999999998
269,6.0,0.4,6.3,0.3,10.0,3.05,Q2,23.0,True,False,0.9523809523809524,16.7
270,5.2,0.5,7.3,5.6,5.4,2.79,Q1_Lowest,24.0,False,False,0.7123287671232877,16.700000000000003
271,6.6,2.0,5.2,0.9,9.3,3.17,Q3,24.0,False,True,1.2692307692307692,18.799999999999997
272,7.3,2.1,7.4,4.0,3.2,3.16,Q3,24.0,True,False,0.9864864864864864,16.6
273,5.7,0.1,6.5,4.2,7.5,2.98,Q2,24.0,False,False,0.8769230769230769,17.5
274,9.8,0.4,8.4,2.4,3.0,3.26,Q3,24.0,False,True,1.1666666666666667,15.600000000000001
275,9.3,0.7,8.5,4.6,0.9,3.43,Q4_Highest,23.999999999999996,False,True,1.0941176470588236,15.5
276,7.5,2.5,9.3,2.7,2.0,3.2,Q3,24.0,True,False,0.8064516129032258,14.7
278,7.0,2.6,5.5,3.9,5.0,2.82,Q1_Lowest,24.0,False,True,1.2727272727272727,18.5
279,10.0,0.2,9.9,1.6,2.3,3.56,Q4_Highest,24.0,False,True,1.0101010101010102,14.1
280,7.8,3.0,9.4,1.5,2.3,3.25,Q3,24.0,True,False,0.8297872340425532,14.6
281,6.6,2.7,9.0,4.3,1.4,2.93,Q2,23.999999999999996,True,False,0.7333333333333333,15.0
282,9.1,0.5,7.7,0.0,6.7,3.64,Q4_Highest,24.0,False,True,1.1818181818181817,16.3
283,6.6,1.5,7.0,4.2,4.7,2.79,Q1_Lowest,24.0,True,False,0.9428571428571428,17.0
284,6.2,1.5,6.1,0.4,9.8,2.5,Q1_Lowest,24.0,True,False,1.0163934426229508,17.9
285,8.0,2.7,8.1,2.4,2.8,3.4,Q4_Highest,24.0,True,False,0.9876543209876544,15.9
286,7.6,1.9,5.1,2.0,7.4,3.08,Q2,24.0,False,True,1.4901960784313726,18.9
287,6.9,1.6,7.9,3.2,4.4,3.31,Q3,24.0,True,False,0.8734177215189873,16.1
288,9.1,2.9,9.8,0.0,2.2,3.48,Q4_Highest,23.999999999999996,False,True,0.9285714285714285,14.200000000000001
289,6.0,0.0,8.2,5.4,4.4,2.92,Q2,24.0,True,False,0.7317073170731708,15.8
290,5.3,3.7,6.8,0.6,7.6,2.78,Q1_Lowest,24.0,False,False,0.7794117647058824,17.2
291,7.4,1.0,6.4,1.8,7.4,3.15,Q3,24.0,True,False,1.15625,17.6
292,6.6,2.4,8.6,1.6,4.8,3.27,Q3,24.0,True,False,0.7674418604651163,15.399999999999999
